File Name,Data Type,File Size (Bytes),CPU Ambient (%),Battery Ambient (%),Best Algorithm
118815-715736320_medium.mp4,Video,606732,4.7,17,AES
33218-396487854.mp4,Video,424021,8.3,17,AES
55280-499594157_medium.mp4,Video,2692887,9.4,17,AES
67858-523396049.mp4,Video,334584,13.8,17,ChaCha20
business-price-indexes-march-2026-quarter.csv.csv,CSV,14508500,13.9,17,AES
economic-survey-of-manufacturing-march-2026-quarter.csv,CSV,7799566,19.0,16,AES
empty.txt,Text,0,12.3,16,AES
file_example_MP3_5MG.mp3,Audio,5319693,21.7,16,AES
IA-Serie1.pdf,PDF,249628,27.3,16,ChaCha20
istockphoto-2177059950-640_adpp_is.mp4,Video,1763464,22.0,16,AES
lorem-ipsum.txt,Text,2949,11.5,16,ChaCha20
machine-readable-business-employment-data-mar-2026-quarter.csv,CSV,4044361,41.1,15,AES
mp4_30s_sample_file_1.7MB.mp4,Video,1792170,14.5,15,AES
mp4_5s_sample_file_279KB.mp4,Video,284972,25.8,15,AES
mp4_h264_aac_12s_sample.mp4,Video,255041,11.1,15,AES
mp4_h264_aac_360p_sample.mp4,Video,79018,17.0,15,AES
mp4_h264_no_audio_240p_sample.mp4,Video,20650,34.3,15,AES
mp4_square_h264_aac_sample.mp4,Video,94636,6.7,15,ChaCha20
Planning_examens_S2_P2_2025-2026 (VF) (1).pdf,PDF,743051,12.0,15,AES
Planning_examens_S2_P2_2025-2026 (VF).pdf,PDF,743051,27.2,15,AES
png1.png,Image,15831,22.0,15,AES
png10.png,Image,24237,18.4,15,AES
png2.png,Image,454060,6.6,15,AES
png3.png,Image,76381,8.6,15,ChaCha20
png4.png,Image,5800,23.9,15,AES
png5.png,Image,22095,23.8,15,AES
png6.png,Image,244965,8.2,15,AES
png7.png,Image,18091,7.9,15,ChaCha20
png8.png,Image,32462,21.5,15,AES
png9.png,Image,13731,18.9,15,ChaCha20
png_1000x600_sample_file_21KB.png,Image,20605,18.8,15,AES
png_100x100_sample_file_5KB.png,Image,4416,23.0,15,ChaCha20
png_2000x1200_sample_file_36KB.png,Image,36584,8.5,15,ChaCha20
png_500x300_sample_file_13KB.png,Image,12334,33.7,15,AES
png_ocr_noise_sample.png,Image,43031,9.4,15,ChaCha20
png_receipt_scan_sample.png,Image,4526,8.2,15,AES
png_sample_file_10MB.png,Image,10485760,7.0,15,AES
Python 7.pdf,PDF,222061,21.9,14,AES
sample-1.gif,Image,625349,23.2,14,AES
sample-100-records.xml,XML,11707,25.7,14,AES
sample-1000-records.json,JSON,158293,7.0,14,AES
sample-1000-records.xml,XML,116677,15.3,14,ChaCha20
sample-1000-rows.csv,CSV,79046,23.4,14,ChaCha20
sample-10kb.mp3,Audio,10240,25.1,14,ChaCha20
sample-1kb.docx,DOCX,8772,16.0,14,ChaCha20
sample-1kb.pdf,PDF,6120,9.0,14,AES
sample-1mb.pdf,PDF,1053319,51.7,14,AES
sample-2.mp3,Audio,1411488,21.2,14,AES
sample-2.png,Image,2589769,19.0,14,AES
sample-3.csv,CSV,489,8.9,14,AES
sample-3.gif,Image,19479,24.7,14,AES
sample-3.pdf,PDF,112615,15.3,14,AES
sample-3mb.mp3,Audio,3145728,22.4,14,AES
sample-4.gif,Image,18663,11.7,14,ChaCha20
sample-4.mp4,Video,7588608,15.8,14,AES
sample-5.docx,DOCX,610973,10.1,13,AES
sample-5.gif,Image,41435,9.3,13,AES
sample-5.mp3,Audio,1830660,21.9,13,AES
business-financial-data-march-2026-quarter.csv,CSV,1970831,24.1,87,AES
sample-5.mp4,Video,2037627,31.0,87,AES
sample-5.png,Image,1428019,9.0,87,AES
sample-500kb.mp3,Audio,512000,8.5,87,ChaCha20
sample-array.json,JSON,15650,6.6,87,ChaCha20
sample-bom.json,JSON,130,6.9,87,PRESENT
sample-edge-cases.json,JSON,11856,11.9,87,ChaCha20
sample-empty-array.json,JSON,2,7.7,87,PRESENT
sample-empty-object.json,JSON,2,17.9,87,PRESENT
sample-files.com-formatted-report.docx,DOCX,22134,10.0,87,ChaCha20
sample-files.com-large-document.docx,DOCX,67970,15.0,88,AES
sample-files.com-multi-column.docx,DOCX,39955,4.9,88,ChaCha20
